,CRN,Course
914,45403,BIS 002A
915,45404,BIS 002A
916,45404,BIS 002A
917,45405,BIS 002A
918,45405,BIS 002A
919,45406,BIS 002A
920,45406,BIS 002A
921,45407,BIS 002A
922,45407,BIS 002A
923,45418,BIS 002A
924,45418,BIS 002A
925,45419,BIS 002A
926,45419,BIS 002A
927,45420,BIS 002A
928,45420,BIS 002A
929,45421,BIS 002A
930,45421,BIS 002A
931,74170,BIS 002A
932,74170,BIS 002A
933,74171,BIS 002A
934,74171,BIS 002A
935,45422,BIS 002B
936,45422,BIS 002B
937,45422,BIS 002B
938,45423,BIS 002B
939,45423,BIS 002B
940,45423,BIS 002B
941,45424,BIS 002B
942,45424,BIS 002B
943,45424,BIS 002B
944,45425,BIS 002B
945,45425,BIS 002B
946,45425,BIS 002B
947,45426,BIS 002B
948,45426,BIS 002B
949,45426,BIS 002B
950,45427,BIS 002B
951,45427,BIS 002B
952,45427,BIS 002B
953,45428,BIS 002B
954,45428,BIS 002B
955,45428,BIS 002B
956,45429,BIS 002B
957,45429,BIS 002B
958,45429,BIS 002B
959,45430,BIS 002B
960,45430,BIS 002B
961,45430,BIS 002B
962,45431,BIS 002B
963,45431,BIS 002B
964,45431,BIS 002B
965,45432,BIS 002B
966,45432,BIS 002B
967,45432,BIS 002B
968,45433,BIS 002B
969,45433,BIS 002B
970,45433,BIS 002B
971,45434,BIS 002B
972,45434,BIS 002B
973,45434,BIS 002B
974,45435,BIS 002B
975,45435,BIS 002B
976,45435,BIS 002B
977,45436,BIS 002B
978,45436,BIS 002B
979,45436,BIS 002B
980,45437,BIS 002B
981,45437,BIS 002B
982,45437,BIS 002B
983,45438,BIS 002B
984,45438,BIS 002B
985,45438,BIS 002B
986,45439,BIS 002B
987,45439,BIS 002B
988,45439,BIS 002B
989,45440,BIS 002B
990,45440,BIS 002B
991,45440,BIS 002B
992,45441,BIS 002B
993,45441,BIS 002B
994,45441,BIS 002B
995,45442,BIS 002B
996,45442,BIS 002B
997,45442,BIS 002B
998,45443,BIS 002B
999,45443,BIS 002B
1000,45443,BIS 002B
1001,45444,BIS 002B
1002,45444,BIS 002B
1003,45444,BIS 002B
1004,45445,BIS 002B
1005,45445,BIS 002B
1006,45445,BIS 002B
1007,45446,BIS 002B
1008,45446,BIS 002B
1009,45446,BIS 002B
1010,45447,BIS 002B
1011,45447,BIS 002B
1012,45447,BIS 002B
1013,45448,BIS 002B
1014,45448,BIS 002B
1015,45448,BIS 002B
1016,45449,BIS 002B
1017,45449,BIS 002B
1018,45449,BIS 002B
1019,45450,BIS 002B
1020,45450,BIS 002B
1021,45450,BIS 002B
1022,45451,BIS 002B
1023,45451,BIS 002B
1024,45451,BIS 002B
1025,45452,BIS 002B
1026,45452,BIS 002B
1027,45452,BIS 002B
1028,45453,BIS 002B
1029,45453,BIS 002B
1030,45453,BIS 002B
1031,45454,BIS 002B
1032,45454,BIS 002B
1033,45454,BIS 002B
1034,45455,BIS 002B
1035,45455,BIS 002B
1036,45455,BIS 002B
1037,74640,BIS 002B
1038,74640,BIS 002B
1039,74640,BIS 002B
1040,74641,BIS 002B
1041,74641,BIS 002B
1042,74641,BIS 002B
1043,74642,BIS 002B
1044,74642,BIS 002B
1045,74642,BIS 002B
1046,74643,BIS 002B
1047,74643,BIS 002B
1048,74643,BIS 002B
1049,45456,BIS 002C
1050,45456,BIS 002C
1051,45456,BIS 002C
1052,45457,BIS 002C
1053,45457,BIS 002C
1054,45457,BIS 002C
1055,45458,BIS 002C
1056,45458,BIS 002C
1057,45458,BIS 002C
1058,45459,BIS 002C
1059,45459,BIS 002C
1060,45459,BIS 002C
1061,45460,BIS 002C
1062,45460,BIS 002C
1063,45460,BIS 002C
1064,45461,BIS 002C
1065,45461,BIS 002C
1066,45461,BIS 002C
1067,45462,BIS 002C
1068,45462,BIS 002C
1069,45462,BIS 002C
1070,45463,BIS 002C
1071,45463,BIS 002C
1072,45463,BIS 002C
1073,45464,BIS 002C
1074,45464,BIS 002C
1075,45464,BIS 002C
1076,45465,BIS 002C
1077,45465,BIS 002C
1078,45465,BIS 002C
1079,45466,BIS 002C
1080,45466,BIS 002C
1081,45466,BIS 002C
1082,45467,BIS 002C
1083,45467,BIS 002C
1084,45467,BIS 002C
1085,45468,BIS 002C
1086,45468,BIS 002C
1087,45468,BIS 002C
1088,45469,BIS 002C
1089,45469,BIS 002C
1090,45469,BIS 002C
1091,45470,BIS 002C
1092,45470,BIS 002C
1093,45470,BIS 002C
1094,45471,BIS 002C
1095,45471,BIS 002C
1096,45471,BIS 002C
1097,45472,BIS 002C
1098,45472,BIS 002C
1099,45472,BIS 002C
1100,45473,BIS 002C
1101,45473,BIS 002C
1102,45473,BIS 002C
1103,45474,BIS 002C
1104,45474,BIS 002C
1105,45474,BIS 002C
1106,45475,BIS 002C
1107,45475,BIS 002C
1108,45475,BIS 002C
1109,45476,BIS 002C
1110,45476,BIS 002C
1111,45476,BIS 002C
1112,45477,BIS 002C
1113,45477,BIS 002C
1114,45477,BIS 002C
1115,45478,BIS 002C
1116,45478,BIS 002C
1117,45478,BIS 002C
1118,45479,BIS 002C
1119,45479,BIS 002C
1120,45479,BIS 002C
1121,45480,BIS 002C
1122,45480,BIS 002C
1123,45480,BIS 002C
1124,45481,BIS 002C
1125,45481,BIS 002C
1126,45481,BIS 002C
1127,45482,BIS 002C
1128,45482,BIS 002C
1129,45482,BIS 002C
1130,45483,BIS 002C
1131,45483,BIS 002C
1132,45483,BIS 002C
1133,45484,BIS 002C
1134,45484,BIS 002C
1135,45484,BIS 002C
1136,45485,BIS 002C
1137,45485,BIS 002C
1138,45485,BIS 002C
1139,74445,BIS 002C
1140,74445,BIS 002C
1141,74445,BIS 002C
1142,74446,BIS 002C
1143,74446,BIS 002C
1144,74446,BIS 002C
1145,74498,BIS 002C
1146,74498,BIS 002C
1147,74498,BIS 002C
1148,74505,BIS 002C
1149,74505,BIS 002C
1150,74505,BIS 002C
1151,74507,BIS 002C
1152,74507,BIS 002C
1153,74507,BIS 002C
1154,74511,BIS 002C
1155,74511,BIS 002C
1156,74511,BIS 002C
1157,74512,BIS 002C
1158,74512,BIS 002C
1159,74512,BIS 002C
1160,74513,BIS 002C
1161,74513,BIS 002C
1162,74513,BIS 002C
1163,74514,BIS 002C
1164,74514,BIS 002C
1165,74514,BIS 002C
1166,74515,BIS 002C
1167,74515,BIS 002C
1168,74515,BIS 002C
1169,74516,BIS 002C
1170,74516,BIS 002C
1171,74516,BIS 002C
1172,74517,BIS 002C
1173,74517,BIS 002C
1174,74517,BIS 002C
1175,45488,BIS 010
1176,45488,BIS 010
1177,45489,BIS 010
1178,45489,BIS 010
1179,45490,BIS 010
1180,45490,BIS 010
1181,45491,BIS 010
1182,45491,BIS 010
1183,45492,BIS 010
1184,45492,BIS 010
1185,45493,BIS 010
1186,45493,BIS 010
1187,@,BIS 092
1188,@,BIS 098
1189,@,BIS 099
1190,45513,BIS 101
1191,45514,BIS 101
1192,45514,BIS 101
1193,45515,BIS 101
1194,45515,BIS 101
1195,74414,BIS 101
1196,74414,BIS 101
1197,45516,BIS 101D
1198,45517,BIS 101D
1199,45518,BIS 101D
1200,45519,BIS 101D
1201,45520,BIS 101D
1202,45521,BIS 101D
1203,45522,BIS 101D
1204,45523,BIS 101D
1205,45524,BIS 101D
1206,45525,BIS 101D
1207,45526,BIS 101D
1208,45527,BIS 101D
1209,45528,BIS 101D
1210,45529,BIS 101D
1211,45530,BIS 101D
1212,45531,BIS 101D
1213,74477,BIS 101D
1214,74478,BIS 101D
1215,74479,BIS 101D
